firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.010501253,17
1,6,0.010128786,14
2,0,0.009476514,22
3,3,0.024290077,23
4,5,0.00793652,18
5,0,0.005565207,9
6,5,0.010878344,22
7,6,0.0069893394,8
8,4,0.008215582,17
9,1,0.010622244,10
10,5,0.003469837,9
11,2,0.0044750893,6
12,5,0.0055195675,9
13,5,0.013157891,11
14,0,0.0037491117,5
15,0,0.11043355,11
16,0,0.0068240105,7
17,0,0.011181783,8
18,2,0.011641958,6
19,0,0.0023414488,3
20,7,0.0052076154,3
21,7,0.013090519,5
22,1,0.003939673,5
23,2,0.0014285664,3
24,5,0.005397929,6
25,5,0.0028422088,4
26,4,0.0059267147,3
27,7,0.0027160447,3
28,5,0.0040585236,7
29,5,0.008422984,4
30,4,0.0035093182,4
31,4,0.005166235,4
32,2,0.021302572,6
33,4,0.008227889,5
34,7,0.0037416164,7
35,3,0.0033639004,3
36,1,0.0082435785,5
37,4,0.018158533,3
38,6,0.007132679,7
39,7,0.0035389038,3
40,4,0.0030974068,4
41,6,0.0051746033,5
42,2,0.0035267381,3
43,3,0.0050097588,5
44,3,0.0056850207,3
45,2,0.004455403,5
46,5,0.30672437,4
47,7,0.0038481683,3
48,2,0.02097613,4
49,1,0.004612634,5
50,6,0.004136247,3
51,6,0.0041334056,7
52,7,0.0042901076,3
53,2,0.0028439942,3
54,5,0.002602051,3
55,5,0.012162235,3
56,6,0.008861341,4
57,6,0.0024669766,3
58,7,0.015741855,3
59,3,0.0028435122,4
60,0,0.0023255604,3
61,1,0.0018139625,3
62,7,0.0034420532,3
63,6,0.008871696,5
64,0,0.0039864806,4
65,2,0.028673735,3
66,1,0.0030228558,3
67,2,0.0032046367,3
68,5,0.0034269565,5
69,4,0.006222988,3
70,3,0.0046804305,3
71,3,0.002980961,3
72,5,0.05825872,4
73,5,0.0026153252,3
74,0,0.0081957225,3
75,1,0.0055526174,3
76,2,0.0027110535,3
77,3,0.0040264847,3
78,7,0.007523214,3
79,7,0.002458422,3
