firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.009230747,17
1,6,0.009668135,14
2,0,0.009282551,22
3,3,0.024983702,23
4,5,0.005875478,18
5,0,0.009246833,9
6,5,0.00956293,22
7,6,0.0052122185,8
8,4,0.0078194225,17
9,1,0.010601705,10
10,5,0.0033295616,9
11,2,0.005195854,6
12,5,0.0038699608,9
13,5,0.010897736,11
14,0,0.0030859758,5
15,0,0.104623824,11
16,0,0.005614879,7
17,0,0.009004835,8
18,2,0.01674934,6
19,0,0.0029995965,3
20,7,0.004291842,3
21,7,0.007553026,5
22,1,0.00531685,5
23,2,0.0010531174,3
24,5,0.006765355,6
25,5,0.002928249,4
26,4,0.005512123,3
27,7,0.0035278394,3
28,5,0.002816267,7
29,5,0.011652985,4
30,4,0.0043723136,4
31,4,0.0056978646,4
32,2,0.020809654,6
33,4,0.0068741376,5
34,7,0.003772654,7
35,3,0.0036061155,3
36,1,0.007214478,5
37,4,0.01800206,3
38,6,0.008847168,7
39,7,0.0037182944,3
40,4,0.0027662986,4
41,6,0.004042459,5
42,2,0.0031272965,3
43,3,0.003712157,5
44,3,0.0063103987,3
45,2,0.006409924,5
46,5,0.28894413,4
47,7,0.0037296058,3
48,2,0.027927123,4
49,1,0.004010526,5
50,6,0.0032449234,3
51,6,0.0029081358,7
52,7,0.0038092919,3
53,2,0.0021041837,3
54,5,0.004308938,3
55,5,0.012243579,3
56,6,0.009154214,4
57,6,0.0015147055,3
58,7,0.01419534,3
59,3,0.0025145966,4
60,0,0.0025663213,3
61,1,0.002007444,3
62,7,0.0027199565,3
63,6,0.008400739,5
64,0,0.0027436947,4
65,2,0.015848756,3
66,1,0.0028096652,3
67,2,0.0031943743,3
68,5,0.0044865212,5
69,4,0.0059301094,3
70,3,0.005174312,3
71,3,0.003951296,3
72,5,0.09681714,4
73,5,0.0022721747,3
74,0,0.007805328,3
75,1,0.005869141,3
76,2,0.0025412424,3
77,3,0.004853072,3
78,7,0.009182099,3
79,7,0.002661131,3
