firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.009364697,17
1,6,0.009751278,14
2,0,0.008992247,22
3,3,0.02385948,23
4,5,0.008302829,18
5,0,0.0052340785,9
6,5,0.010830419,22
7,6,0.006812589,8
8,4,0.008441507,17
9,1,0.010614017,10
10,5,0.0034343048,9
11,2,0.004666078,6
12,5,0.0058469567,9
13,5,0.01326813,11
14,0,0.0035805984,5
15,0,0.111804895,11
16,0,0.006905423,7
17,0,0.01152771,8
18,2,0.011445044,6
19,0,0.0024479858,3
20,7,0.005458266,3
21,7,0.013347656,5
22,1,0.0038773231,5
23,2,0.001442639,3
24,5,0.005700732,6
25,5,0.0029714254,4
26,4,0.006007812,3
27,7,0.0027182344,3
28,5,0.003877612,7
29,5,0.008554249,4
30,4,0.0037371258,4
31,4,0.0051387907,4
32,2,0.021172674,6
33,4,0.008561427,5
34,7,0.003953232,7
35,3,0.0032344628,3
36,1,0.008300103,5
37,4,0.017812317,3
38,6,0.0070434506,7
39,7,0.0033981348,3
40,4,0.0030471664,4
41,6,0.005144249,5
42,2,0.0034312943,3
43,3,0.005103877,5
44,3,0.0056139412,3
45,2,0.004572119,5
46,5,0.3047027,4
47,7,0.0039311484,3
48,2,0.0218915,4
49,1,0.004506523,5
50,6,0.0038933547,3
51,6,0.0042948253,7
52,7,0.004200715,3
53,2,0.0029368706,3
54,5,0.002685782,3
55,5,0.01191123,3
56,6,0.008455943,4
57,6,0.00228298,3
58,7,0.015591279,3
59,3,0.003005372,4
60,0,0.0022579157,3
61,1,0.001745077,3
62,7,0.0034073868,3
63,6,0.009250637,5
64,0,0.004037739,4
65,2,0.026709706,3
66,1,0.0029821396,3
67,2,0.0032855216,3
68,5,0.0037352284,5
69,4,0.006247308,3
70,3,0.0047619543,3
71,3,0.0030725861,3
72,5,0.059729677,4
73,5,0.0025764832,3
74,0,0.008907878,3
75,1,0.0055524516,3
76,2,0.0026995095,3
77,3,0.0041917837,3
78,7,0.0075634606,3
79,7,0.002644794,3
