firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.011466536,17
1,6,0.007920946,14
2,0,0.006468579,22
3,3,0.029560398,23
4,5,0.0071218996,18
5,0,0.007865753,9
6,5,0.01441719,22
7,6,0.0033882062,8
8,4,0.010574885,17
9,1,0.009023819,10
10,5,0.0025945723,9
11,2,0.0046136207,6
12,5,0.0041737664,9
13,5,0.011275546,11
14,0,0.0021738878,5
15,0,0.13279934,11
16,0,0.0047862865,7
17,0,0.007835498,8
18,2,0.00866939,6
19,0,0.0019163373,3
20,7,0.003418175,3
21,7,0.007016948,5
22,1,0.0040487475,5
23,2,0.00087175943,3
24,5,0.0075903763,6
25,5,0.0025434387,4
26,4,0.0055315527,3
27,7,0.0033199522,3
28,5,0.0023639163,7
29,5,0.008450315,4
30,4,0.0031561076,4
31,4,0.0057762708,4
32,2,0.016921874,6
33,4,0.0066275652,5
34,7,0.0039985455,7
35,3,0.0038232554,3
36,1,0.005661329,5
37,4,0.0126761375,3
38,6,0.005887963,7
39,7,0.0038908317,3
40,4,0.0027234675,4
41,6,0.0038243916,5
42,2,0.0022210425,3
43,3,0.0041642967,5
44,3,0.005023111,3
45,2,0.0032014875,5
46,5,0.34112877,4
47,7,0.0028758459,3
48,2,0.015651163,4
49,1,0.0041615795,5
50,6,0.00532621,3
51,6,0.0042940583,7
52,7,0.0044688974,3
53,2,0.0023214729,3
54,5,0.004163901,3
55,5,0.0065344507,3
56,6,0.0098015405,4
57,6,0.0014608039,3
58,7,0.014676638,3
59,3,0.0021276462,4
60,0,0.0015642825,3
61,1,0.00216777,3
62,7,0.003475931,3
63,6,0.0078042396,5
64,0,0.0044068736,4
65,2,0.02340513,3
66,1,0.0032488292,3
67,2,0.0028730289,3
68,5,0.0025478806,5
69,4,0.0062841987,3
70,3,0.004502869,3
71,3,0.0029540556,3
72,5,0.061706807,4
73,5,0.0036191775,3
74,0,0.005630159,3
75,1,0.0054907766,3
76,2,0.003302372,3
77,3,0.0048090876,3
78,7,0.0052331793,3
79,7,0.0026010643,3
