firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.013666295,17
1,6,0.00951169,14
2,0,0.006310894,22
3,3,0.029766267,23
4,5,0.0075060655,18
5,0,0.0076240567,9
6,5,0.013765695,22
7,6,0.0037492877,8
8,4,0.010096229,17
9,1,0.008233711,10
10,5,0.0027360655,9
11,2,0.004522748,6
12,5,0.004781274,9
13,5,0.012600608,11
14,0,0.002565853,5
15,0,0.12817395,11
16,0,0.006498374,7
17,0,0.008191454,8
18,2,0.009060471,6
19,0,0.001583283,3
20,7,0.004078471,3
21,7,0.007787253,5
22,1,0.0040084673,5
23,2,0.0013317079,3
24,5,0.008879117,6
25,5,0.0026885555,4
26,4,0.005315694,3
27,7,0.0034274475,3
28,5,0.0023300957,7
29,5,0.008785109,4
30,4,0.004212754,4
31,4,0.005653974,4
32,2,0.016688665,6
33,4,0.0073999325,5
34,7,0.0050512813,7
35,3,0.004332093,3
36,1,0.0053216456,5
37,4,0.01305642,3
38,6,0.0049901516,7
39,7,0.0037005823,3
40,4,0.0025297056,4
41,6,0.0041569755,5
42,2,0.002159937,3
43,3,0.004994101,5
44,3,0.005833693,3
45,2,0.0037042513,5
46,5,0.32142574,4
47,7,0.0029293722,3
48,2,0.0161132,4
49,1,0.004094699,5
50,6,0.0062016034,3
51,6,0.004632659,7
52,7,0.0041435077,3
53,2,0.0025109353,3
54,5,0.0041373447,3
55,5,0.008334658,3
56,6,0.008449637,4
57,6,0.0012557145,3
58,7,0.013026757,3
59,3,0.002192718,4
60,0,0.0013678882,3
61,1,0.0023007672,3
62,7,0.002987113,3
63,6,0.0066614877,5
64,0,0.004170611,4
65,2,0.02573463,3
66,1,0.002768089,3
67,2,0.003136907,3
68,5,0.0029499333,5
69,4,0.0063089146,3
70,3,0.0050452375,3
71,3,0.0024978213,3
72,5,0.071937226,4
73,5,0.0031582303,3
74,0,0.0050061313,3
75,1,0.006271637,3
76,2,0.003510732,3
77,3,0.004301071,3
78,7,0.0051980475,3
79,7,0.0018765907,3
