firm_id,sector,initial_market_cap_weight,true_degree
0,2,0.014006582,17
1,6,0.008235937,14
2,0,0.008102796,22
3,3,0.025684478,23
4,5,0.007114257,18
5,0,0.0060342373,9
6,5,0.016796947,22
7,6,0.0057545723,8
8,4,0.008791351,17
9,1,0.00915744,10
10,5,0.0024726281,9
11,2,0.004938443,6
12,5,0.00407296,9
13,5,0.0119036995,11
14,0,0.002733064,5
15,0,0.13774376,11
16,0,0.005018037,7
17,0,0.0076319734,8
18,2,0.007697351,6
19,0,0.0020871277,3
20,7,0.004432067,3
21,7,0.005092937,5
22,1,0.0029941776,5
23,2,0.0011927673,3
24,5,0.006541814,6
25,5,0.002821233,4
26,4,0.0051055425,3
27,7,0.0037015576,3
28,5,0.0024947503,7
29,5,0.008309217,4
30,4,0.0037330198,4
31,4,0.0045326184,4
32,2,0.011720029,6
33,4,0.006047901,5
34,7,0.004777991,7
35,3,0.003834472,3
36,1,0.0059703467,5
37,4,0.012847824,3
38,6,0.0038394306,7
39,7,0.0033574768,3
40,4,0.0025210734,4
41,6,0.004210505,5
42,2,0.0024943538,3
43,3,0.0043920996,5
44,3,0.00495395,3
45,2,0.0037659905,5
46,5,0.32461098,4
47,7,0.003229069,3
48,2,0.017505668,4
49,1,0.0037843015,5
50,6,0.0052616466,3
51,6,0.004993464,7
52,7,0.0032967587,3
53,2,0.0025380729,3
54,5,0.0034672245,3
55,5,0.010236756,3
56,6,0.0057503553,4
57,6,0.0016048138,3
58,7,0.015933316,3
59,3,0.0030758437,4
60,0,0.0015239076,3
61,1,0.0018570737,3
62,7,0.0038773092,3
63,6,0.0057465634,5
64,0,0.0042483155,4
65,2,0.021200368,3
66,1,0.0029857543,3
67,2,0.0028151078,3
68,5,0.0020826592,5
69,4,0.0055930414,3
70,3,0.0034810998,3
71,3,0.0018533734,3
72,5,0.08995591,4
73,5,0.0034096355,3
74,0,0.005050816,3
75,1,0.004341929,3
76,2,0.0022027171,3
77,3,0.0034303293,3
78,7,0.005943773,3
79,7,0.0014492612,3
