label,n,mean_sp500,std_sp500,skew_sp500,kurt_sp500,absacf1_sp500,absacf5_sp500,sqacf1_sp500,leverage_sp500_lag1_20,mean_DGS10,std_DGS10,skew_DGS10,kurt_DGS10,absacf1_DGS10,sp_dgs10_corr,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,abs_q095,abs_q099,abs_q0995,abs_q0999,abs_q10,ann_return_approx,lev_dec1_1d,lev_dec2_1d,lev_dec3_1d,lev_dec4_1d,lev_dec5_1d,lev_dec6_1d,lev_dec7_1d,lev_dec8_1d,lev_dec9_1d,lev_dec10_1d,lev_dec1_3d,lev_dec2_3d,lev_dec3_3d,lev_dec4_3d,lev_dec5_3d,lev_dec6_3d,lev_dec7_3d,lev_dec8_3d,lev_dec9_3d,lev_dec10_3d,lev_dec1_4d,lev_dec2_4d,lev_dec3_4d,lev_dec4_4d,lev_dec5_4d,lev_dec6_4d,lev_dec7_4d,lev_dec8_4d,lev_dec9_4d,lev_dec10_4d,lev_dec1_5d,lev_dec2_5d,lev_dec3_5d,lev_dec4_5d,lev_dec5_5d,lev_dec6_5d,lev_dec7_5d,lev_dec8_5d,lev_dec9_5d,lev_dec10_5d,lev_dec1_7d,lev_dec2_7d,lev_dec3_7d,lev_dec4_7d,lev_dec5_7d,lev_dec6_7d,lev_dec7_7d,lev_dec8_7d,lev_dec9_7d,lev_dec10_7d,lev_dec1_10d,lev_dec2_10d,lev_dec3_10d,lev_dec4_10d,lev_dec5_10d,lev_dec6_10d,lev_dec7_10d,lev_dec8_10d,lev_dec9_10d,lev_dec10_10d,lev_dec1_20d,lev_dec2_20d,lev_dec3_20d,lev_dec4_20d,lev_dec5_20d,lev_dec6_20d,lev_dec7_20d,lev_dec8_20d,lev_dec9_20d,lev_dec10_20d,lev_mid_1d,lev_mid_3d,lev_mid_4d,lev_mid_5d,lev_mid_7d,lev_mid_10d,lev_mid_20d,corr_all,rc_mean,rc_q05,rc_q50,rc_q95,rc_era1,rc_era2,rc_era3,rc_rmse,score
Z97_center55_seed1,14882,0.0003414499969668124,0.01347140150692389,-0.8749901634760683,18.44549005650366,0.28560545820475214,0.2051860795096612,0.16517021439504578,-0.0331875144972922,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.03507190405529695,-0.07550743508417078,0.28560545820475214,0.16517021439504578,-0.0031471836230580613,0.25563034706009685,0.22733627989266067,-0.0022278568874155693,0.24469260700941217,0.25727959182727445,0.019674690095841194,0.2051860795096612,0.1701364158033754,0.01077175717281971,0.12941119390536124,0.051582900891461704,-0.0033458807806844193,0.06820426762967893,0.015071735102343897,0.002607357753439904,0.05768525212262153,0.00541022087601094,0.025964253023266787,0.04041790429502727,0.048908113613724664,0.08909822735935644,0.21837946772575378,0.06562187228925298,-0.012891773108607,-0.008353650578337713,0.009266676521372863,-0.02058559414307532,-0.013191533648370508,-0.0708881014873915,-0.08386077571269046,-0.11698007274035585,-0.08627718397210442,-0.19348758807703015,0.003975538990705282,0.007488699159671629,-0.02121524536001647,-0.018760665247646018,-0.016060791452907737,-0.09669046544370186,-0.048913789919585414,-0.11099585675512919,-0.11968869170903276,-0.26352083902708623,-0.012499280377299781,0.025758394730596483,-0.019244827066335683,-0.02469217724396821,0.001323583700160613,-0.08209852758839048,-0.04936662283077749,-0.11298348733258119,-0.1384401385486347,-0.2696316984238968,-0.007857126236655696,0.02978674206922446,-0.028800926280688595,-0.02680089413963905,0.020629300611823383,-0.09838533917338332,-0.042915371434863694,-0.11921428189546769,-0.14381557144441479,-0.2782715839725392,-0.0013561619827260822,0.005462948260738768,-0.02948554830532698,-0.030104367187842537,0.030215980984862077,-0.09283149530352149,-0.029525818826956422,-0.11414226667913835,-0.13059990335249377,-0.26499789681015157,-0.012065366617764306,-0.005108040051775627,-0.022730133985311395,-0.042021192842333466,0.022016490101716465,-0.09342140005550892,-0.02707330650518691,-0.10324162639398901,-0.10696931586262491,-0.2595202505264439,-0.01278711131361357,-0.01691819711115445,-0.0572341959139313,-0.03132186328853782,-0.011284917071065163,-0.06715428821011134,-0.023735863552589196,-0.07456504352014753,-0.06271942613711402,-0.21314500596424799,-0.07423953351218254,-0.0784699190560714,-0.07631303852004465,-0.07674025266726123,-0.0673767006354496,-0.06173783174311866,-0.04789190769820545,-0.03507190405529695,0.02358406825213109,-0.6802938977304261,-0.11552601479914963,0.7749736193614994,-0.39921336676492153,0.5928362738298669,0.5282393427857868,0.33320611439041536,0.4155154922168024
Z97_center55_seed2,14882,0.00033507216111369097,0.013339484561896042,-0.18412871380875626,9.09804025553502,0.2866061118029426,0.2111268882432306,0.2606913568069963,-0.018371158208456716,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.13445126047758055,-0.07092112384250986,0.2866061118029426,0.2606913568069963,0.00957617468768562,0.2650644841498283,0.1930404537259665,-0.011017515479557425,0.2522399927647689,0.1997186794971824,0.0038380895724917,0.2111268882432306,0.20353673379462028,-0.01762737103020758,0.14260279307662566,0.07398235016148463,-0.010598016687648024,0.11377459042251402,0.041559762858133946,0.0002572821146804317,0.079969544482652,0.026603839976184148,0.026278407312929616,0.03997572317719463,0.048693872783332745,0.08469753620028551,0.13409289717674255,0.06490829159439127,0.04670325941331329,-0.01827176905079918,-0.05203134680817556,0.014374564432505482,-0.004572656615184969,0.0013403028212597707,-0.07595472420533865,-0.07764129803690324,-0.10092721425081655,-0.1527399396138616,0.02040126836416532,0.0060233067642235716,-0.06017373804429603,-0.0025469870997272804,-0.0510627815112081,-0.03150810307820304,-0.0799527031667281,-0.09869525852329897,-0.10815122260676165,-0.18270820136762325,0.03337226720016247,0.00875148594532191,-0.05653919026554655,-0.0072158050626553415,-0.03989835828838113,-0.0011764822079162651,-0.08494026093829514,-0.1002076095811686,-0.10399766161499317,-0.1998464924494596,0.04493704201226224,0.012209065870802623,-0.06008552178458099,-0.011698021146575498,-0.03347332705375471,0.008948540807428684,-0.08275087358657823,-0.099889544958746,-0.1015049827792744,-0.19087193984068837,0.037971694737625315,0.014233187240587475,-0.05677248209664827,-0.012548328822551816,-0.015995657551757445,0.009731514664644428,-0.09074989689741442,-0.08825305483701312,-0.09011526293666411,-0.19962238522213416,0.05063424860633105,0.0005489639358149861,-0.05012431137087743,-0.009508609654678712,-0.020354545331330298,0.010875606850558106,-0.08746126721793858,-0.0647483392718092,-0.05974824128606703,-0.18325410812838328,0.04827869061488454,-0.021354097703388423,-0.029704928307482194,-0.008290127616306852,-0.02037600423781691,-0.013351011965501819,-0.10972358829461355,-0.06950288006522018,-0.03824748519285214,-0.10725498460435523,-0.051551118057396726,-0.07387401377723997,-0.06604407452615087,-0.061734037514184936,-0.05507647151164093,-0.044287357251317404,-0.05024019395120092,-0.13445126047758055,-0.10871856698806451,-0.6519684711147058,-0.05497929539215714,0.3135816593486797,-0.3310707464093725,0.17470822388935875,0.14238778852632386,0.2608606672159852,0.3650427558583866
Z97_center55_seed3,14882,0.000278136502571395,0.012267174240184437,-0.6819745763093721,22.83013317262347,0.278081698337778,0.20927705205024252,0.18346957316527143,-0.02498380456586367,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.04723824742310425,-0.10203929262781562,0.278081698337778,0.18346957316527143,0.03499310706424207,0.29457016892792165,0.2623467398398151,-0.012158277747302926,0.24301177203655283,0.16937337306161573,-0.010344430708672312,0.20927705205024252,0.1766273267316218,0.006458790539115481,0.1238275496223072,0.048686046655504425,0.0056802166163678,0.06871719404644515,0.017989534578608933,0.009883559612134997,0.05476891429956417,0.012030237329506878,0.022406380530446766,0.037046429067850176,0.04974167827516755,0.09893906899541634,0.2018498182296753,0.05298677802562013,0.002213005389745055,0.01839610573979366,-0.01889499909611292,-0.00031473470745133173,-0.05680783289166328,-0.021082203850699567,-0.09652248062375272,-0.1099764195286206,-0.07781981925259403,-0.1381589481143441,-0.006397160010841531,0.012030087195697514,-0.014085508643914009,-0.03980077757597438,-0.046865634544155474,-0.02045924399535519,-0.08017752352337441,-0.07954293360061634,-0.11452694559628498,-0.17059981544488398,-0.009484995986276194,-0.0002110441470791057,-0.02292092409511701,-0.04145067512930129,-0.05345951375421518,-0.03991139161565802,-0.07955745908898351,-0.08020243069574452,-0.11679556512398341,-0.201709669342678,-0.0018687545506965455,-0.0017797728570148163,-0.03348064164304393,-0.028683302591393057,-0.04196605735560332,-0.033278224719376116,-0.059001729698287625,-0.05661990283813536,-0.10666100197474047,-0.19204224031580452,-0.0113258551759262,-0.026046348204818656,-0.03735167719417318,-0.01934441151504414,-0.06211607936790597,-0.012390048772638265,-0.03691432846246815,-0.04860901375448164,-0.10347818228628954,-0.20917735971732596,-0.022363077134583652,-0.024869808759150413,-0.0478715987219517,0.006492289391787689,-0.06762582100361883,-0.031245361443090473,-0.019262256480980556,-0.04858756188656652,-0.10150396469897748,-0.20472563676957237,-0.0031226230262122205,-0.052586323120557714,-0.05521648820749301,-0.009160637599454994,-0.03577575166823035,-0.031718942023927825,-0.022903054233409763,-0.039868510365528194,-0.07066187059763138,-0.17726838838576922,-0.07244175122946603,-0.06831445625195728,-0.07398527205571694,-0.05950538331722858,-0.052701530528756715,-0.053644993102646775,-0.040185625777745496,-0.04723824742310425,0.021551419455900177,-0.6250955001411935,-0.08628867371360298,0.6793193752931781,-0.3411845924227891,0.4850935754320783,0.47732209359801053,0.2867060841288672,0.3225677252484271
Z98_trend10_seed1,14882,0.00032148764935292334,0.013089597380294382,-0.9380172955400781,20.255562036607966,0.2768082430780833,0.2010576526252094,0.16137531325510554,-0.03343251787675837,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.08065040674111183,-0.09171095123937102,0.2768082430780833,0.16137531325510554,-0.003884500142352828,0.2473548045726568,0.23152910443568475,-6.257981520050767e-05,0.2367176971580322,0.25617592663006383,0.024079734456115543,0.2010576526252094,0.17078351871215447,0.010931495774748987,0.11738413639576552,0.04808480762584054,-0.004776407962977451,0.04873135213795904,0.010371677198991508,0.009366587924710042,0.047768066222645594,0.002925909843146486,0.02484482768923044,0.038579716533422556,0.04798573870211829,0.09002806422859566,0.21893803775310516,0.06163431128890062,-0.024889599245130133,-0.014044012631843922,0.02342024278171382,-0.0017908190381810242,-0.01986455433455547,-0.05902056388041483,-0.07228774195032603,-0.07237431713173263,-0.11857323784150377,-0.193304111073707,-0.02634690173986764,0.0052942847924951075,-0.027488825555382432,-0.018839964705891523,-0.0006275966309972248,-0.06483797802246984,-0.0496409801542672,-0.10199863300971863,-0.1338233513467537,-0.25745735630348715,-0.02254569498076905,0.023661159795287556,-0.02072022421375871,-0.024866440891963597,-0.001965875144159645,-0.05359084817768903,-0.055140911916517064,-0.10422356563107092,-0.1460597855775464,-0.267310039476463,-0.02841860079362226,0.021012056963618166,-0.016589474886261574,-0.02444524551522624,0.0028698713783973048,-0.05365866564289341,-0.05846186616699827,-0.10450266281986634,-0.14720350057542955,-0.2798388761222415,-0.02937202727053861,0.0019084534484401356,-0.007554800047051318,-0.01965426142544731,0.010270354383578793,-0.05465024363958373,-0.047348468256331426,-0.08545771165385348,-0.13768774170321163,-0.2669230218452563,-0.05705712474603499,-0.012514171536312808,0.008215036627664573,-0.02033925634847653,0.006674330427520001,-0.06242596990263503,-0.05604112270837893,-0.07792496900172952,-0.10895912727967998,-0.2635500890937507,-0.03489571917543832,-0.013466343357512785,-0.005203318549077598,-0.032094246480707744,-0.026427541310670027,-0.03797929653371752,-0.0736156825089579,-0.04922001211769666,-0.062369812706225984,-0.22361156823354392,-0.06842408302770654,-0.07018570783284131,-0.07219619728939661,-0.07219136476535806,-0.06297476217388029,-0.05973537169298069,-0.04992246903545362,-0.08065040674111183,-0.005759316450645194,-0.696763241168039,-0.14685885738830745,0.780147113574289,-0.41270313571830025,0.5668877232810301,0.3945886889955888,0.31177866517747,0.3819680535607394
Z98_trend10_seed2,14882,0.00032622922467724196,0.013027468530636854,-0.21206921600619116,9.53575976308028,0.27693170560688063,0.1938152216103526,0.25674768072366444,-0.01830943501393832,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.15605942687971416,-0.08123862203996478,0.27693170560688063,0.25674768072366444,0.01002652600561538,0.25357222027822984,0.19208807773200004,-0.008150981893915929,0.23880842625168594,0.19717479303487884,0.0021319757179814832,0.1938152216103526,0.19581506127405,-0.016281790577324453,0.12999868815498763,0.06828491806384228,-0.007782751538942345,0.0982881150162917,0.035843377096244064,0.0020614672846294264,0.0634231426568922,0.01855135320641151,0.02551581785082816,0.038332028388977105,0.04735390648245795,0.08334322214871821,0.13488945364952087,0.06363750592957085,-0.004101188367811986,-0.04107083539033747,-0.029037873261609573,0.0003990103619158656,-0.01969962574590021,0.012488075012449841,-0.05756696644728649,-0.09470060696636286,-0.08894505477673455,-0.1534760420645115,-0.018098731695244015,-0.03342796499802143,-0.029013986537852147,-0.008940159077300237,-0.056885462193995366,-0.033991379791536123,-0.052981103145717696,-0.10598197129197255,-0.12045467051237839,-0.1728773851728791,0.00775235459747592,-0.03314223901243239,-0.037783899901555236,-0.01306158011887388,-0.05426960138743287,-0.004803298971812922,-0.04555157661133655,-0.10117323964273109,-0.11771691576384971,-0.19081860396992315,0.021604594994325377,-0.020497867503078384,-0.04145730968080731,-0.01886116865140112,-0.04887686033300511,0.006215898970219812,-0.040597558873006916,-0.10504648542095292,-0.10804598347406617,-0.18597930278851013,0.015632372266930428,-0.01930192821585557,-0.040732428463055186,-0.014741240745524199,-0.02807917193180037,0.01630873819832777,-0.045169576454454914,-0.09789817883736471,-0.1054210144374146,-0.1911553858574833,0.008368345965690867,-0.031067605942104937,-0.02744997932069432,0.0005633476157470075,-0.04833800884881485,0.026386428622239378,-0.045704042628502195,-0.07730405914191625,-0.06981678646861027,-0.18036618207189042,0.009073970667614496,-0.04622933187925463,-0.01004986944529852,0.005280553048460812,-0.05521027587475226,0.022906339402509756,-0.09050249126198952,-0.07614071110403461,-0.03239093876908834,-0.12195608315881969,-0.04968483578476686,-0.07405891738712003,-0.06470292647543263,-0.05927019782616226,-0.05205184069254136,-0.04295529369312083,-0.046267615521470996,-0.15605942687971416,-0.1258114795351334,-0.6540835050106895,-0.0836710298720892,0.3152973024458681,-0.3468438997044274,0.17234352209381953,0.06734872101127547,0.24976996885909616,0.3066744768197671
Z98_trend10_seed3,14882,0.00027727214735965894,0.012111150201977196,-0.7103943932679575,23.65735967789342,0.2758915188523742,0.20754187047261505,0.18206795846148902,-0.02474582369835724,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.08338885470730427,-0.11179357225159954,0.2758915188523742,0.18206795846148902,0.03702794281950272,0.28752697235568714,0.26175836397572816,-0.005301189912972643,0.23507828489583815,0.16479463627653407,-0.011657759461941563,0.20754187047261505,0.1794058894597771,0.002091611895189554,0.12113930234011218,0.04884840471915496,0.002540115750286934,0.061906725439973095,0.01700101375166759,0.011327443526087928,0.048906332180448736,0.010170815321791872,0.021931525878608204,0.03641621854156256,0.050524985603987924,0.0990409148260954,0.2038038969039917,0.053262060316446425,0.07715378864593224,0.0006210028042194215,-0.010620794390390962,0.003909399490921561,-0.05170302087113204,-0.053239715162519116,-0.08717706403557951,-0.1055019499960634,-0.07874430724204937,-0.13660773589691325,0.0694178400532525,0.011062665014796951,-0.01786157536775218,-0.019933932424175956,-0.06561913905087595,-0.04422614577585327,-0.06592458710011567,-0.07462807550349373,-0.12550286880289882,-0.1640187409125051,0.07583128300363814,-0.011983407925906768,-0.01724215029085282,-0.03765684691298899,-0.06156698242836586,-0.06102085496315653,-0.056821236166252294,-0.08610729959721086,-0.12447841683460381,-0.19377124202112153,0.07518158693215016,-0.016595177290680177,-0.0212858673519111,-0.02788635575764556,-0.044896431958885354,-0.04782860728043401,-0.03297437161124053,-0.07490807346780572,-0.10491227477579142,-0.1837662652141939,0.057110784920696524,-0.030146556236024507,-0.020201580307438377,-0.017565600429413988,-0.05466064253712038,-0.02245706155382619,-0.01430160542317868,-0.0810101452825537,-0.10226017947827139,-0.20181290263553384,0.0418479012361677,-0.02651913207993131,-0.015846276057554426,-0.0045345501555155605,-0.04436111629528141,-0.0510621803661069,-0.004463674123983339,-0.08249437527088031,-0.0984148462891066,-0.1957260703803374,0.028154668901064522,-0.04521429272890844,-0.02840801647185666,-0.0162893488540121,-0.02970669075976227,-0.035519870170128996,-0.018391660366167076,-0.07100082974873967,-0.056726217559336496,-0.17445470489117884,-0.07527321146146868,-0.07518016324664749,-0.07799895799791787,-0.0611039518188314,-0.05493792685499006,-0.05615923846907171,-0.0422690537208269,-0.08338885470730427,-0.011034743709545755,-0.6311978127173014,-0.13090079919060826,0.6743627482415446,-0.35281421632766846,0.45186247228360626,0.3222113775915551,0.2513408412668556,0.43289963152379574
Z99_trend10_b12_seed1,14882,0.000336055001538879,0.013955370945459795,-0.7785712221057907,16.90449322479357,0.29069084517199756,0.2122696579251803,0.16269707095136784,-0.03323057279164407,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.08373194665380972,-0.11102300437648799,0.29069084517199756,0.16269707095136784,-0.006075326377318945,0.2618288932320538,0.22350086814880538,-0.0030105638435498636,0.25142504835613444,0.25236657803136303,0.023412131972618547,0.2122696579251803,0.16801091654054207,0.01341163803969977,0.12938291222912968,0.049897135747736125,-0.004965481503510229,0.06100892234683239,0.011372561627149084,0.011627694820313814,0.06108430697517252,0.004879189337344355,0.027061255369335405,0.04100125543773182,0.05107272164896114,0.09411665302515279,0.22083628177642822,0.06239761942642441,-0.013185547939915342,0.0005170250034344959,0.016221616402511692,-0.03258765961331244,-0.052446790005633466,-0.02466888270462761,-0.07944078272008911,-0.0877458051681815,-0.13584501882277136,-0.18246090874405216,-0.007535514051548534,0.005111300367963199,-0.018013333075396053,-0.032891633653365636,-0.05742526212389297,-0.039273660053249865,-0.04559585699023739,-0.09917448659897513,-0.18389481704528163,-0.2504426648095333,-0.0003070099413116858,0.010414263008618545,-0.023535155202236372,-0.02091871117595553,-0.05555798420681267,-0.036956960548138795,-0.04834318542421538,-0.10188681356358523,-0.18746763243372278,-0.261606497635265,-0.0025728135426238037,0.002830039608480642,-0.014660390344108765,-0.021965481466430053,-0.04698490684086415,-0.05173545079404137,-0.05781559457002077,-0.09700869669210893,-0.18651166330502855,-0.2758562671138138,0.00024800173399291595,-0.02079622556224722,-0.00963726703074094,-0.01793794521553455,-0.038873157876886125,-0.041714990683882326,-0.05628056059414167,-0.08819310207142743,-0.1664239220374231,-0.2644603877701483,-0.0014992658250262204,-0.024933795368240166,-0.008125646869537095,-0.013111970914999434,-0.03663006170388162,-0.060876711963217846,-0.0534471344516227,-0.08030688670346466,-0.13192469354082284,-0.2636163471991287,0.01716556506046311,-0.03346976539457758,-0.031183237303121367,-0.03004586295000701,-0.028971642870293145,-0.06642193932778233,-0.03048457732035357,-0.06946260734139942,-0.08020617397334205,-0.2212280988784145,-0.0760294558842606,-0.08507281656232739,-0.08604251523529496,-0.08801126244041275,-0.07829714665275214,-0.07263709767260193,-0.0551093881666341,-0.08373194665380972,-0.004585495424572076,-0.7173790644596016,-0.17012092971220577,0.8099748666522583,-0.44348764378682437,0.606964541465326,0.4441493058437344,0.33673380904056077,0.42080094260539974
Z99_trend10_b12_seed2,14882,0.00032843420553163534,0.01310222232702965,-0.23663696682399277,9.547959710206706,0.27721363618456274,0.19106263129500264,0.2531880453050515,-0.021109217316374475,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.18130698703993509,-0.10954467490641011,0.27721363618456274,0.2531880453050515,0.004447767865768219,0.25578754499493755,0.1964733509907358,-0.006939063552152623,0.2323569420898884,0.19393038961791062,0.00906198093720909,0.19106263129500264,0.18968832658301427,-0.020034031205525042,0.11962379625226227,0.06250040284288695,-0.0027075922642819583,0.08164627461012164,0.026212998387067577,-0.0001879658500500813,0.05463891636516088,0.017121429518469778,0.02551189195364712,0.038977175094187265,0.04811317089945021,0.08593860546499504,0.1385725438594818,0.06396226074745481,2.7076048998211304e-05,-0.018265810608969077,-0.0328575779639123,0.013982385638969646,-0.04152456696699421,0.015655137612098857,-0.05691141088106811,-0.07074160074429632,-0.10151409697696477,-0.15650248348717444,-0.04837340657956593,-0.024438327225973975,-0.011295666189072264,-0.010153433085352506,-0.021502691871687508,-0.017847297645220344,-0.0641253461573891,-0.1321133040666933,-0.1125530025563737,-0.1685216457177712,-0.02506088888693064,-0.029439605643146235,-0.019148451786911047,-0.014254229245649487,-0.011569700882067048,-0.011867748551861988,-0.04427702847559146,-0.11684615020813496,-0.12090903688610258,-0.19694113205701078,-0.00990925505914396,-0.017801119473024683,-0.005963765859005323,-0.019581304818753916,-0.005823934884225299,-0.01292252552136368,-0.0463476646690336,-0.11089636347718809,-0.10934237392403254,-0.18697464685453785,0.009528647213926201,-0.00475015578037252,-0.0033653301704602416,-0.013231080428456334,0.005112695395665097,-0.005756932272421421,-0.0561081792218022,-0.10751841069078012,-0.10849623800185085,-0.19343502182668418,0.004374969065930056,0.008028267038067914,0.003142351447900983,-0.019382052954406943,-0.010728489573257696,0.010174178095512128,-0.037061136309779766,-0.07981891403612561,-0.107604976214042,-0.18069687726124034,-0.010199218287226712,0.01900867656155208,-0.0073778370454242225,-0.012763768937685556,-0.023009786274695413,0.00645469944034099,-0.043400213859329795,-0.0875050903907541,-0.08081103239813564,-0.13304433688211573,-0.051007307591444916,-0.06962832845947278,-0.06109393300075161,-0.057066572495168645,-0.0545534129582379,-0.04500786760753859,-0.045654284696514794,-0.18130698703993509,-0.1324057864899045,-0.6817715027621699,-0.10368631307403117,0.3688711336714917,-0.38744644640296483,0.21368463806379923,0.08532847828891904,0.24489354372397523,0.3059764679418596
Z99_trend10_b12_seed3,14882,0.00029066998808765067,0.012673790367860148,-0.6153446889391562,20.955185311207078,0.2871274036074472,0.21386306363649074,0.1812822166815731,-0.024622713741631403,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.08974266633823495,-0.1462443921927921,0.2871274036074472,0.1812822166815731,0.0298987544105939,0.2899650876745708,0.2629345881630035,-0.0042164530196828936,0.24226097038868832,0.1633011971405474,-0.008167006827579922,0.21386306363649074,0.18102036990844972,0.001919877119002739,0.1303591283696136,0.05170554741643623,0.0019018645878879274,0.06873496394519629,0.0177189422726362,0.006750950363109288,0.05492083844606279,0.01087281461969362,0.023223811201751224,0.038650586828589475,0.05233954178169368,0.09841773134470126,0.2082930952310562,0.054968204476645965,0.023406564068860977,-0.00623013080080437,-0.013500910773551492,0.010878545454231453,-0.05906992247561914,-0.03759450274709001,-0.11001129952260633,-0.06939990201962624,-0.1333250489650706,-0.13569961220314014,-0.002006909262262143,-0.031116078926688415,0.021740474143415157,0.006209421091889907,-0.08601871846657101,-0.054321230736883316,-0.07547577618529037,-0.03623292049052999,-0.1638110446594143,-0.1709798020670252,0.009616026279834078,-0.03537436583542558,0.014507697113477635,-0.00028483507310293754,-0.09554889297378333,-0.060901732103688405,-0.07878258729754005,-0.04448226504550274,-0.1564041915773885,-0.19737693578690024,0.0033385871761707365,-0.04429310243659305,0.02052522996058437,-0.0009048123472542545,-0.08565147683777923,-0.052126766382930026,-0.05949800930826148,-0.035848360852837165,-0.13678632678387312,-0.185512602831643,-0.0067651727844444875,-0.05703712086881812,0.01370956091752039,0.0002596768888792775,-0.09017389327414758,-0.03842204060533994,-0.032406589356760315,-0.0489370276905919,-0.12507167058956253,-0.1979739838144751,-0.0050418566297126995,-0.05299160082271219,0.003219245391097491,-0.00010094064516465046,-0.08263692659538949,-0.02137836961037898,-0.029721388615195597,-0.048781413387394786,-0.13114614162570207,-0.19214456775953065,-0.029977371521757515,-0.05715549003362599,-0.0008071141003179813,-0.009331398792075826,-0.05976613611787552,-0.0132553788795581,-0.022579188604815264,-0.05122850768227691,-0.09304891622269812,-0.1686643297399535,-0.08188013514600248,-0.08317193810773779,-0.0872239337995806,-0.0739821880331362,-0.06700224430328046,-0.06273284796681218,-0.04797562550144478,-0.08974266633823495,-0.008013446552431235,-0.655604012124055,-0.16082593864298428,0.7209387049540088,-0.3860289547408084,0.5014232410877799,0.3715678038097381,0.2727388284446213,0.3209243506488145
Z100_trend15_seed1,14882,0.00031855136736255924,0.013105506804416153,-0.9375124945952599,20.101868782842786,0.2778583948723378,0.20407560041991202,0.16242239927936308,-0.03336003314680229,5.5772073646014845e-05,0.06667897813249414,-0.2332020128778507,11.43212023902337,0.2536008919687764,-0.10514842234862475,-0.09460982322629692,0.2778583948723378,0.16242239927936308,-0.004062568367574385,0.2547893396056747,0.23629484479595667,-0.0006804843632171257,0.24146646372421357,0.2571346146352518,0.02506920721404291,0.20407560041991202,0.17116039729422855,0.012053816128538583,0.122398182689049,0.04930588061937335,-0.005707850494477015,0.049593885791323455,0.010924854778546616,0.009175651550252743,0.04879226339665415,0.002928708514889314,0.024915211275219895,0.03890771638602024,0.04831186329945911,0.08743706391006867,0.219023197889328,0.06079301662297931,-0.00609900136069797,0.003186037199549838,0.026962209083652596,-0.01162885113019843,-0.018279763989721035,-0.056579156333761524,-0.07080361419785715,-0.0740630156071535,-0.1271237522281348,-0.18750050796128354,-0.01588499254125434,0.024316571673584506,-0.00656232229169972,-0.007409220337274214,-0.017023668241837823,-0.049701597006089705,-0.07370802852189899,-0.0976898115861262,-0.14121810072456042,-0.25838219659680933,-0.028967436629744464,0.02630494366481112,0.004442081363327858,-0.006520544999366272,-0.014908620137974915,-0.03154923718839036,-0.08006508011905047,-0.10592193344305303,-0.15154298594580967,-0.26813380996416325,-0.033561334701498344,0.027946663266676323,0.0036659056927829826,-0.011170750151054,-0.006683898701479322,-0.03686549256601814,-0.09126360249107662,-0.10562201193769692,-0.14835912140173413,-0.280647106263599,-0.025816624606738843,0.005321804849324008,0.0017677002451522588,-0.0037384001982177536,-0.001295169530352718,-0.04022366530437465,-0.07766492627835567,-0.08812428530583899,-0.13606411425676898,-0.2695412015771464,-0.038357178880113016,-0.012658719138285963,0.005973405517610555,0.004444390716173173,-0.004643394774052622,-0.05182393330004021,-0.08014260715811562,-0.0770859233621502,-0.10951182459077663,-0.26567200958262926,3.2502394360747815e-05,-0.00391783850669914,-0.009484188245619097,-0.01732780767773844,-0.042151421613508606,-0.037977949393232166,-0.08885180578835457,-0.049341173856921695,-0.057941932483883726,-0.22434769232142385,-0.06936986047132561,-0.07586824121610262,-0.0767975713668557,-0.07775882541960102,-0.0686744321351382,-0.06464153663702706,-0.055252856627180144,-0.10514842234862475,-0.02810888774352259,-0.7026095768333425,-0.17149960820444984,0.7785737614669692,-0.4165226011833591,0.5434830209232571,0.24578827135335393,0.30100896922152404,0.36918845857652627
