firm_id,sector,initial_market_cap_weight,true_degree
0,3,0.012853879,5
1,6,0.021901393,16
2,4,0.02045887,21
3,3,0.016855648,19
4,0,0.010363665,11
5,6,0.013709832,20
6,6,0.007987768,14
7,6,0.0591359,8
8,5,0.017384756,12
9,4,0.004334564,10
10,4,0.011868516,10
11,0,0.009245471,9
12,2,0.008611889,8
13,7,0.0041792956,10
14,5,0.019067707,5
15,2,0.005723579,7
16,1,0.0013707625,11
17,3,0.02200667,6
18,6,0.006605399,3
19,3,0.015889473,8
20,1,0.012809171,7
21,2,0.0033907944,5
22,6,0.004726491,4
23,6,0.00644663,5
24,4,0.008101083,4
25,4,0.0057070013,5
26,6,0.0038978893,8
27,6,0.026849952,4
28,7,0.0064248974,7
29,5,0.012930829,3
30,2,0.006862121,7
31,3,0.02332516,4
32,5,0.0076143253,7
33,0,0.01731369,5
34,6,0.01701614,4
35,2,0.004602266,6
36,2,0.0014842304,7
37,7,0.0100245895,5
38,0,0.022946842,4
39,5,0.0030234419,3
40,2,0.007771697,4
41,0,0.0017431065,3
42,7,0.0018097815,5
43,0,0.0005957495,4
44,6,0.021889051,3
45,6,0.036807932,9
46,5,0.012808221,4
47,3,0.0025957576,5
48,1,0.0025192313,5
49,7,0.005052199,5
50,2,0.028663816,3
51,5,0.031579763,3
52,1,0.011888948,3
53,3,0.023316743,3
54,7,0.0014898541,6
55,1,0.00097018585,5
56,0,0.04781895,3
57,2,0.005572825,3
58,0,0.005136369,6
59,3,0.015988633,3
60,3,0.010710323,4
61,3,0.021651195,3
62,5,0.014858569,3
63,0,0.01452067,3
64,5,0.0023562338,4
65,4,0.0022836027,3
66,0,0.0028470515,3
67,7,0.027930653,5
68,2,0.0032378654,3
69,4,0.004406262,4
70,2,0.0063879546,3
71,2,0.0095150275,3
72,5,0.017774634,3
73,6,0.011001165,3
74,1,0.016206466,3
75,2,0.00065922085,3
76,7,0.011045127,4
77,5,0.0027468293,3
78,5,0.0012671635,3
79,1,0.057522546,3
